id;Distrito;Nombre;Media ideológica estimada;Desv, standard;Lista
1;7;Jaime Bassa;-1,950190734;0,572502765;Apruebo Dignidad
2;28;Elisa Giustinianovich;-1,703331931;0,560000154;Coordinadora Social Magallanes
3;20;Andrés Cruz;-1,598056755;0,578494644;Lista del Apruebo
4;16;Nicolás Nuñez;-1,582105004;0,528790454;Apruebo Dignidad
5;6;Mariela Serey;-1,541036348;0,53788121;Apruebo Dignidad
6;23;Manuela Royo;-1,474099938;0,583312425;Apruebo Dignidad
7;20;Amaya Alvez;-1,428087477;0,496797428;Apruebo Dignidad
8;12;Beatriz Sánchez;-1,340454741;0,481233637;Apruebo Dignidad
9;5;María Castillo;-1,279761657;0,501617115;Independientes por la Región de Coquimbo
10;2;Alejandra Alicia Flores Carlos;-1,223349198;0,429750945;Independientes de Tarapacá
11;7;Camila Zárate;-1,201214426;0,455064822;La Lista del Pueblo
12;4;Constanza San Juan;-1,185553431;0,409530742;Asamblea Constituyente Atacama
13;27;Yarela Nicohl Gómez Sánchez;-1,158520427;0,527117606;Apruebo Dignidad
14;14;Ignacio Achurra;-1,095633991;0,495729374;Apruebo Dignidad
15;15;Damaris Abarca;-1,058256199;0,465679378;Apruebo Dignidad
16;3;Dayyana González;-0,979134294;0,375606112;La Lista del Pueblo
17;9;Natalia Henríquez;-0,969900737;0,454675327;La Lista del Pueblo Distrito 9
18;11;Constanza Schonhaut;-0,969747924;0,339546087;Apruebo Dignidad
19;9;Bárbara Sepúlveda;-0,969276298;0,391685197;Apruebo Dignidad
20;26;Adriana Ampuero;-0,956156852;0,426818313;Insulares e Independientes
21;20;Bastián Labbé;-0,952908889;0,528598282;Asamblea Popular Constituyente
22;8;Marco Arellano;-0,907489778;0,434626653;La Lista del Pueblo
23;7;Tania Madriaga;-0,872013694;0,464237479;La Lista del Pueblo
24;6;Janis Jan del Carmen Meneses Palma;-0,864969265;0,487677997;Movimientos Sociales Independientes
25;19;César Uribe;-0,858589334;0,389363813;"Fuerza Social de Ñuble; La Lista del Pueblo"
26;1;Carolina Videla;-0,779368388;0,420008712;Apruebo Dignidad
27;24;Pedro Muñoz Leiva;-0,778030786;0,415681203;Lista del Apruebo
28;8;Daniel Rodrigo Stingo Camus;-0,750153954;0,369967197;Apruebo Dignidad
29;3;Hernán Velásquez;-0,750153954;0,369967197;Apruebo Dignidad
30;17;Paola Grandón;-0,750153954;0,261124422;Apruebo Dignidad
31;9;Alejandra Pía Pérez Espina;-0,731306211;0,359924895;La Lista del Pueblo
32;13;Malucha Pinto;-0,726760519;0,317560599;Lista del Apruebo
33;8;Tatiana Urrutia;-0,686164283;0,389738056;Apruebo Dignidad
34;2;Hugo Gutiérrez;-0,624367747;0,39157983;Apruebo Dignidad
35;13;Marco Barraza Gómez;-0,624367747;0,39157983;Apruebo Dignidad
36;18;Fernando Salinas;-0,573386438;0,387401888;La lista del Pueblo Maule Sur
37;12;Giovanna Grandón;-0,573386438;0,387401888;La lista del Pueblo
38;23;Helmuth Martínez;-0,573386438;0,387401888;La lIsta del Pueblo
39;13;Ingrid Fernanda Villena Narbona;-0,573386438;0,387401888;La lista del Pueblo
40;8;María Magdalena Rivera Iribarren;-0,573386438;0,387401888;La Lista del Pueblo
41;20;Rossana Vidal;-0,573386438;0,387401888;La lIsta del Pueblo
42;7;María José Oyarzún;-0,556947383;0,438467178;Apruebo Dignidad
43;16;Gloria Alvarado;-0,543165206;0,335901801;Corrientes Independientes
44;6;Carolina Vilches;-0,534952361;0,426040945;Apruebo Dignidad
45;8;Valentina Miranda;-0,525232962;0,450245399;Apruebo Dignidad
46;12;Alondra Carrillo;-0,489218265;0,394146165;Voces Constituyentes
47;28;Mauricio Daza;-0,447017017;0,385329535;Regionalismo Ciudadano Independiente
48;24;Ramona Reyes;-0,428922625;0,360199676;Lista del Apruebo
49;5;Carlos Calvo;-0,372441499;0,339000691;Lista del Apruebo
50;6;Miguel Botto;-0,341127789;0,378842728;Independientes por la Nueva Constitución
51;18;Francisca Arauna;-0,316568622;0,371566437;La Lista del Pueblo Maule Sur
52;20;Tammy Pustilnick;-0,29217051;0,286111202;Independientes del Biobío por una Nueva Constitución
53;5;Daniel Bravo;-0,291590731;0,340178765;La Lista del Pueblo - Movimiento Territorial Constituyente
54;10;Giovanna Roa;-0,285629468;0,355942864;Apruebo Dignidad
55;21;Javier Fuchslocher;-0,275715057;0,317316461;Independientes por una Nueva Constitución
56;17;Elsa Labraña;-0,272238072;0,344601084;La Lista del Pueblo
57;12;Benito Baranda;-0,271444211;0,266925162;Independientes por una Nueva Constitución
58;16;Adriana Cancino;-0,262296421;0,337122333;Lista del Apruebo
59;26;Julio Alvarez Pinto;-0,262296421;0,337122333;Lista del Apruebo
60;15;Matías Orellana;-0,262296421;0,337122333;Lista del Apruebo
61;6;Cristobal Andrade;-0,25754287;0,3353468;Lista del Pueblo
62;24;Aurora Delgado;-0,238746281;0,376488363;Apruebo Dignidad
63;10;Manuel Woldarsky;-0,22367168;0,344111108;La Lista del Pueblo
64;4;Ericka Portilla;-0,223593342;0,304380013;Apruebo Dignidad
65;21;Luis Barceló;-0,150846862;0,352243359;Lista del Apruebo
66;14;Francisco Javier Caamaño Rojas;-0,100992584;0,319334506;Lista del Apruebo
67;14;Renato Garín;-0,100992584;0,319334506;Lista del Apruebo
68;10;Fernando Atria;-0,087075624;0,327516937;Apruebo Dignidad
69;21;Vanessa Hoppe;-0,047562382;0,30433552;Apruebo Dignidad
70;1;Jorge Abarca;-0,028657564;0,33089629;Lista del Apruebo
71;17;María Quinteros;-0,026735602;0,286577313;Asamblea Popular por la Dignidad
72;22;Fuad Chahin;-0,025471561;0,311320754;Lista del Apruebo
73;23;Eduardo Castillo;-0,008871733;0,31979981;Lista del Apruebo
74;5;Jennifer Mella;0,011137333;0,327969284;Apruebo Dignidad
75;9;César Valenzuela;0,02661799;0,328772679;Lista del Apruebo
76;4;Maximiliano Hurtado;0,054992578;0,254545922;Lista del Apruebo
77;7;Agustín Squella;0,064501203;0,247742226;Lista del Apruebo
78;17;Roberto Celedón;0,081797096;0,211143941;Apruebo Dignidad
79;26;Gaspar Domínguez;0,103338422;0,286408227;Independientes Nueva Constitución
80;6;Claudio Gomez;0,110673486;0,272551407;Lista del Apruebo
81;14;Paulina Valenzuela;0,195870973;0,261591064;Por la Nueva Constitución
82;10;Patricia Politzer;0,210561048;0,267613271;Independientes por la Nueva Constitución
83;27;Tomás Laibe Sáez;0,215351601;0,330036661;Lista del Apruebo
84;6;Lisette Vergara R,;0,238107113;0,310352883;La lIsta del Pueblo
85;15;Alvin Saldaña;0,246678221;0,230847871;Movimientos Sociales Autónomos
86;10;Jorge Baradit;0,269738316;0,255651832;Lista del Apruebo
87;15;Loreto Vallejos;0,299957655;0,289351091;La Lista del Pueblo 100% independientes
88;17;Christian Viera;0,310895773;0,272618512;Lista del Apruebo
89;19;Carolina Sepúlveda;0,32301723;0,239016932;Independientes de Ñuble por la Nueva Constitución
90;18;Ricardo Montero;0,341577586;0,25585035;Lista del Apruebo
91;8;Bessy Gallardo;0,388658918;0,220859151;Lista del Apruebo
92;19;Felipe Harboe;0,41342582;0,258165053;Lista del Apruebo
93;11;Patricio Fernández;0,608022768;0,238177454;Lista del Apruebo
94;14;Claudia Castro;0,659930549;0,226835303;Vamos por Chile
95;23;Lorena Céspedes;0,742565193;0,217902368;Independientes por la Nueva Constitución
96;4;Guillermo Namor;0,834057511;0,179481443;Independientes por la Nueva Constitución
97;20;Luciano Silva;0,876379792;0,207972614;Vamos por Chile
98;12;Juan José Martin;0,925627893;0,17629285;Independientes por una Nueva Constitución
99;11;Hernán Larraín M,;1,015032105;0,214797363;Vamos por Chile
100;27;Geoconda Navarrete;1,074034233;0,179382697;Vamos por Chile
101;23;Angélica Tepper;1,175951832;0,222978612;Vamos por Chile
102;12;Manuel J, Ossandón;1,183059506;0,202403015;Vamos por Chile
103;21;Paulina Veloso;1,229023857;0,156731305;Vamos por Chile
104;25;Cecilia Ubilla;1,25141518;0,192546802;Vamos por Chile
105;25;Harry Jurgensen C,;1,291681933;0,182246129;Vamos por Chile
106;9;Rodrigo Logan;1,370366255;0,130669014;Independiente
107;15;Carol Bown;1,389114861;0,18487549;Vamos por Chile
108;17;Barbara Rebolledo;1,428403875;0,194846328;Vamos por Chile
109;10;Cristián Monckeberg;1,470712799;0,192437586;Vamos por Chile
110;5;Roberto Vega Campusano;1,482396227;0,174091503;Vamos por Chile
111;2;Álvaro Jofré;1,527373729;0,1760244;Vamos por Chile
112;8;Bernardo de la Maza;1,562489412;0,163091827;Vamos por Chile
113;16;Ricardo Neumann;1,566752521;0,13755621;Vamos por Chile
114;19;Martín Arrau;1,571802687;0,197051115;Vamos por Chile
115;11;Bernardo Fontaine;1,589845155;0,17687849;Vamos por Chile
116;10;Teresa Marinovic;1,63457706;0,177058303;Vamos por Chile
117;9;Arturo Zúñiga;1,638974695;0,167478356;Vamos por Chile
118;17;Alfredo Moreno;1,644062593;0,227016129;Vamos por Chile
119;7;Raúl Celis Montt;1,654064959;0,17917027;Vamos por Chile
120;18;Patricia Labra;1,735775698;0,223070187;Vamos por Chile
121;6;Ruggero Cozzi;1,756146708;0,234817905;Vamos por Chile
122;22;Ruth Hurtado;1,799748393;0,157082269;Vamos por Chile
123;28;Rodrigo Álvarez;1,867579981;0,216528923;Vamos por Chile
124;19;Margarita Letelier;1,886809589;0,186813175;Vamos por Chile
125;24;Felipe Mena;1,915542498;0,2065039;Vamos por Chile
126;7;Jorge Arancibia;1,938096834;0,213694897;Vamos por Chile
127;23;Luis Mayol;1,969006198;0,24019428;Vamos por Chile
128;22;Eduardo Crettón;1,998991086;0,224717381;Vamos por Chile
129;26;Katerine Montealegre;2,055992627;0,202216989;Vamos por Chile
130;20;Rocío Cantuarias;2,06205975;0,222113427;Vamos por Chile
131;11;Marcela Cubillos;2,17764132;0,195044776;Vamos por Chile
132;3;Pablo Toloza;2,193849849;0,249417581;Vamos por Chile
133;11;Constanza Hube;2,209180336;0,229661847;Vamos por Chile
134;1;Pollyana Rivera Bigas;2,459812131;0,206356412;Vamos por Chile
135;25;Mario Vargas;-0,452138169;0,364708928;Lista del Apruebo
136;5;Ivanna Daniela Olivares Miranda;NA;NA;Ciudadanos Cristianos
137;3;Cristina Dorador;NA;NA ;Movimiento Independientes del Norte
138;13;Rodrigo Rojas;-0,41640546;0,357999314;Lista del Pueblo
139;ppoo;Adolfo Millabur;NA;NA;NA
140;ppoo;Michel Vargas;NA;NA;NA
141;ppoo;Elisa Loncon;NA;NA;NA
142;ppoo;Fernando Tiraro;NA;NA;NA
143;ppoo;Francisca Linconao;NA;NA;NA
144;ppoo;Isabel Godoy;NA;NA;NA
145;ppoo;Isabella Mamani;NA;NA;NA
146;ppoo;M.Gabriela Celedón;NA;NA;NA
147;ppoo;Natividad Llanquileo;NA;NA;NA
148;ppoo;Rosa Elizabeth Catrileo Arias;NA;NA;NA
149;ppoo;Tiare Aguilera;NA;NA;NA
150;ppoo;Manuel Bacián ;NA;NA;NA
151;ppoo;Luis Jiménez;NA;NA;NA
152;ppoo;Carmen Caifil ;NA;NA;NA
153;ppoo;Carmen Jaramillo;NA;NA;NA
154;ppoo;Manuel Bacián ;NA;NA;NA
155;ppoo;Ximena Anza;NA;NA;NA
;;;;;
;;;;;
;;;;;
;;;;;
